date,home_team,away_team,home_score,away_score,home_played_qualifiers_cycle,away_played_qualifiers_cycle,match_type
2010-01-02,Iran,North Korea,1,0,False,False,friendly
2010-01-02,Qatar,Mali,0,0,False,False,friendly
2010-01-02,Syria,Zimbabwe,6,0,False,False,friendly
2010-01-02,Yemen,Tajikistan,0,1,False,False,friendly
2010-01-03,Angola,Gambia,1,1,False,False,friendly
2010-01-04,Egypt,Mali,1,0,False,False,friendly
2010-01-04,Tanzania,Ivory Coast,0,1,False,False,friendly
2010-01-05,Ghana,Malawi,0,0,False,False,friendly
2010-01-06,Bahrain,Hong Kong,4,0,False,False,continental_qualifier
2010-01-06,Benin,Libya,1,0,False,False,friendly
2010-01-06,China,Syria,0,0,False,False,continental_qualifier
2010-01-06,Gabon,Mozambique,2,0,False,False,friendly
2010-01-06,Indonesia,Oman,1,2,False,False,continental_qualifier
2010-01-06,Kuwait,Australia,2,2,False,False,continental_qualifier
2010-01-06,Lebanon,Vietnam,1,1,False,False,continental_qualifier
2010-01-06,Singapore,Iran,1,3,False,False,continental_qualifier
2010-01-06,Thailand,Jordan,0,0,False,False,continental_qualifier
2010-01-06,United Arab Emirates,Malaysia,1,0,False,False,continental_qualifier
2010-01-06,Yemen,Japan,2,3,False,False,continental_qualifier
2010-01-07,Rwanda,Ivory Coast,0,2,False,False,friendly
2010-01-09,Kenya,Cameroon,1,3,False,False,friendly
2010-01-09,Tunisia,Gambia,1,2,False,False,friendly
2010-01-09,Zambia,South Korea,4,2,False,False,friendly
2010-01-10,Angola,Mali,4,4,False,False,continental
2010-01-11,Ivory Coast,Burkina Faso,0,0,False,False,continental
2010-01-11,Malawi,Algeria,3,0,False,False,continental
2010-01-12,Egypt,Nigeria,3,1,False,False,continental
2010-01-12,Mozambique,Benin,2,2,False,False,continental
2010-01-13,Cameroon,Gabon,0,1,False,False,continental
2010-01-13,Zambia,Tunisia,1,1,False,False,continental
2010-01-14,Angola,Malawi,2,0,False,False,continental
2010-01-14,Mali,Algeria,0,1,False,False,continental
2010-01-15,Ivory Coast,Ghana,3,1,False,False,continental
2010-01-15,Yemen,Kenya,3,1,False,False,friendly
2010-01-16,Egypt,Mozambique,2,0,False,False,continental
2010-01-16,Nigeria,Benin,1,0,False,False,continental
2010-01-17,Cameroon,Zambia,3,2,False,False,continental
2010-01-17,Gabon,Tunisia,0,0,False,False,continental
2010-01-17,Thailand,Singapore,1,0,False,False,other
2010-01-17,Vietnam,China,1,2,False,False,continental_qualifier
2010-01-18,Angola,Algeria,0,0,False,False,continental
2010-01-18,Finland,South Korea,0,2,False,False,friendly
2010-01-18,Mali,Malawi,3,1,False,False,continental
2010-01-19,Burkina Faso,Ghana,0,1,False,False,continental
2010-01-20,Chile,Panama,2,1,False,False,friendly
2010-01-20,Egypt,Benin,2,0,False,False,continental
2010-01-20,Nigeria,Mozambique,3,0,False,False,continental
2010-01-20,Oman,Sweden,0,1,False,False,friendly
2010-01-20,Thailand,Poland,1,3,False,False,other
2010-01-20,Yemen,Bahrain,3,0,False,False,continental_qualifier
2010-01-21,Cameroon,Tunisia,2,2,False,False,continental
2010-01-21,Gabon,Zambia,1,2,False,False,continental
2010-01-22,Latvia,South Korea,0,1,False,False,friendly
2010-01-23,Poland,Singapore,6,1,False,False,other
2010-01-23,Syria,Sweden,1,1,False,False,friendly
2010-01-23,United States,Honduras,1,3,False,False,friendly
2010-01-24,Angola,Ghana,0,1,False,False,continental
2010-01-24,Ivory Coast,Algeria,2,3,False,False,continental
2010-01-25,Egypt,Cameroon,3,1,False,False,continental
2010-01-25,Zambia,Nigeria,0,0,False,False,continental
2010-01-26,Argentina,Costa Rica,3,2,False,False,friendly
2010-01-27,South Africa,Zimbabwe,3,0,False,False,friendly
2010-01-28,Algeria,Egypt,0,4,False,False,continental
2010-01-28,Ghana,Nigeria,1,0,False,False,continental
2010-01-30,Nigeria,Algeria,1,0,False,False,continental
2010-01-31,Ghana,Egypt,0,1,False,False,continental
2010-01-31,Jamaica,Canada,1,0,False,False,friendly
2010-02-02,Japan,Venezuela,0,0,False,False,friendly
2010-02-06,Japan,China,0,0,False,False,other
2010-02-07,South Korea,Hong Kong,5,0,False,False,other
2010-02-10,Argentina,Jamaica,2,1,False,False,friendly
2010-02-10,China,South Korea,3,0,False,False,other
2010-02-11,Japan,Hong Kong,3,0,False,False,other
2010-02-14,Hong Kong,China,0,2,False,False,other
2010-02-14,Japan,South Korea,1,3,False,False,other
2010-02-16,Sri Lanka,Myanmar,0,4,False,False,other
2010-02-16,Tajikistan,Bangladesh,1,2,False,False,other
2010-02-17,North Korea,Turkmenistan,1,1,False,False,other
2010-02-18,Bangladesh,Myanmar,1,2,False,False,other
2010-02-18,Sri Lanka,Tajikistan,1,3,False,False,other
2010-02-19,Kuwait,Syria,1,1,False,False,friendly
2010-02-19,Kyrgyzstan,North Korea,0,4,False,False,other
2010-02-20,Sri Lanka,Bangladesh,3,0,False,False,other
2010-02-20,Tajikistan,Myanmar,3,0,False,False,other
2010-02-21,Turkmenistan,Kyrgyzstan,1,0,False,False,other
2010-02-24,North Korea,Myanmar,5,0,False,False,other
2010-02-24,Mexico,Bolivia,5,0,False,False,friendly
2010-02-24,Tajikistan,Turkmenistan,0,2,False,False,other
2010-02-24,United States,El Salvador,2,1,False,False,friendly
2010-02-25,Jordan,Azerbaijan,0,2,False,False,friendly
2010-02-25,Kuwait,Bahrain,4,1,False,False,friendly
2010-02-25,Turkmenistan,North Korea,1,1,False,False,other
2010-02-27,Malaysia,Yemen,1,0,False,False,friendly
2010-02-27,Tajikistan,Myanmar,1,0,False,False,other
2010-03-02,Guadeloupe,Saint Kitts and Nevis,2,1,False,False,friendly
2010-03-02,Republic of Ireland,Brazil,0,2,False,False,friendly
2010-03-03,Albania,Northern Ireland,1,0,False,False,friendly
2010-03-03,Algeria,Serbia,0,3,False,False,friendly
2010-03-03,Angola,Latvia,1,1,False,False,friendly
2010-03-03,Armenia,Belarus,1,3,False,False,friendly
2010-03-03,Australia,Indonesia,1,0,False,False,continental_qualifier
2010-03-03,Austria,Denmark,2,1,False,False,friendly
2010-03-03,Belgium,Croatia,0,1,False,False,friendly
2010-03-03,Bosnia and Herzegovina,Ghana,2,1,False,False,friendly
2010-03-03,Cyprus,Iceland,0,0,False,False,friendly
2010-03-03,El Salvador,Guatemala,1,2,False,False,friendly
2010-03-03,England,Egypt,3,1,False,False,friendly
2010-03-03,France,Spain,0,2,False,False,friendly
2010-03-03,Georgia,Estonia,2,1,False,False,friendly
2010-03-03,Germany,Argentina,0,1,False,False,friendly
2010-03-03,Greece,Senegal,0,2,False,False,friendly
2010-03-03,Hong Kong,Yemen,0,0,False,False,continental_qualifier
2010-03-03,Hungary,Russia,1,1,False,False,friendly
2010-03-03,Iran,Thailand,1,0,False,False,continental_qualifier
2010-03-03,Italy,Cameroon,0,0,False,False,friendly
2010-03-03,Ivory Coast,South Korea,0,2,False,False,friendly
2010-03-03,Japan,Bahrain,2,0,False,False,continental_qualifier
2010-03-03,Jordan,Singapore,2,1,False,False,continental_qualifier
2010-03-03,Kazakhstan,Moldova,0,1,False,False,friendly
2010-03-03,Libya,Mali,2,1,False,False,friendly
2010-03-03,Luxembourg,Azerbaijan,1,2,False,False,friendly
2010-03-03,North Macedonia,Montenegro,2,1,False,False,friendly
2010-03-03,Malta,Finland,1,2,False,False,friendly
2010-03-03,Mexico,New Zealand,2,0,False,False,friendly
2010-03-03,Mozambique,Botswana,0,1,False,False,friendly
2010-03-03,Netherlands,United States,2,1,False,False,friendly
2010-03-03,Nigeria,DR Congo,5,2,False,False,friendly
2010-03-03,Oman,Kuwait,0,0,False,False,continental_qualifier
2010-03-03,Poland,Bulgaria,2,0,False,False,friendly
2010-03-03,Portugal,China,2,0,False,False,friendly
2010-03-03,Romania,Israel,0,2,False,False,friendly
2010-03-03,Scotland,Czech Republic,1,0,False,False,friendly
2010-03-03,Slovakia,Norway,0,1,False,False,friendly
2010-03-03,Slovenia,Qatar,4,1,False,False,friendly
2010-03-03,South Africa,Namibia,1,1,False,False,friendly
2010-03-03,Switzerland,Uruguay,1,3,False,False,friendly
2010-03-03,Syria,Lebanon,4,0,False,False,continental_qualifier
2010-03-03,Tanzania,Uganda,2,3,False,False,friendly
2010-03-03,Turkey,Honduras,2,0,False,False,friendly
2010-03-03,Uzbekistan,United Arab Emirates,0,1,False,False,continental_qualifier
2010-03-03,Venezuela,Panama,1,2,False,False,friendly
2010-03-03,Wales,Sweden,0,1,False,False,friendly
2010-03-03,Zimbabwe,Malawi,2,1,False,False,friendly
2010-03-06,Venezuela,North Korea,2,1,False,False,friendly
2010-03-07,Niger,Benin,2,0,False,False,friendly
2010-03-11,Padania,Provence,1,3,False,False,friendly
2010-03-17,Mexico,North Korea,2,1,False,False,friendly
2010-03-20,Alderney,Jersey,0,3,False,False,other
2010-03-21,Iceland,Faroe Islands,2,0,False,False,friendly
2010-03-21,Namibia,Botswana,0,0,False,False,friendly
2010-03-24,Martinique,Haiti,0,0,False,False,friendly
2010-03-24,Mexico,Iceland,0,0,False,False,friendly
2010-03-31,Chile,Venezuela,0,0,False,False,friendly
2010-03-31,Paraguay,South Africa,1,1,False,False,friendly
2010-04-03,Saint Kitts and Nevis,Guadeloupe,3,0,False,False,friendly
2010-04-03,Occitania,Monaco,5,1,False,False,friendly
2010-04-07,Japan,Serbia,0,3,False,False,friendly
2010-04-21,Honduras,Venezuela,0,1,False,False,friendly
2010-04-22,South Africa,North Korea,0,0,False,False,friendly
2010-04-28,South Africa,Jamaica,2,0,False,False,friendly
2010-05-05,Argentina,Haiti,4,0,False,False,friendly
2010-05-05,Chile,Trinidad and Tobago,2,0,False,False,friendly
2010-05-07,Mexico,Ecuador,0,0,False,False,friendly
2010-05-08,Jersey,Guernsey,0,1,False,False,other
2010-05-10,Mexico,Senegal,1,0,False,False,friendly
2010-05-12,Yemen,Malawi,1,0,False,False,friendly
2010-05-13,Germany,Malta,3,0,False,False,friendly
2010-05-13,Mexico,Angola,1,0,False,False,friendly
2010-05-15,Paraguay,North Korea,1,0,False,False,friendly
2010-05-16,South Korea,Ecuador,2,0,False,False,friendly
2010-05-16,Mexico,Chile,1,0,False,False,friendly
2010-05-16,South Africa,Thailand,4,0,False,False,friendly
2010-05-18,Yemen,Oman,0,1,False,False,friendly
2010-05-19,Austria,Croatia,0,1,False,False,friendly
2010-05-19,Belgium,Bulgaria,2,1,False,False,friendly
2010-05-19,Gabon,Togo,3,0,False,False,other
2010-05-19,Corsica,Brittany,2,0,False,False,other
2010-05-20,Aruba,Venezuela,0,3,False,False,friendly
2010-05-21,DR Congo,Saudi Arabia,0,2,False,False,friendly
2010-05-21,Estonia,Finland,2,0,False,False,friendly
2010-05-21,Brittany,Togo,2,1,False,False,other
2010-05-21,Corsica,Gabon,1,1,False,False,other
2010-05-22,Turkey,Czech Republic,2,1,False,False,friendly
2010-05-23,Croatia,Wales,2,0,False,False,friendly
2010-05-24,Argentina,Canada,5,0,False,False,friendly
2010-05-24,Australia,New Zealand,2,1,False,False,friendly
2010-05-24,England,Mexico,3,1,False,False,friendly
2010-05-24,Japan,South Korea,0,2,False,False,friendly
2010-05-24,Portugal,Cape Verde,0,0,False,False,friendly
2010-05-24,South Africa,Bulgaria,1,1,False,False,friendly
2010-05-25,Armenia,Uzbekistan,3,1,False,False,friendly
2010-05-25,Georgia,Cameroon,0,0,False,False,friendly
2010-05-25,Greece,North Korea,2,2,False,False,friendly
2010-05-25,Republic of Ireland,Paraguay,2,1,False,False,friendly
2010-05-25,Montenegro,Albania,0,1,False,False,friendly
2010-05-25,Nigeria,Saudi Arabia,0,0,False,False,friendly
2010-05-25,Ukraine,Lithuania,4,0,False,False,friendly
2010-05-25,United States,Czech Republic,2,4,False,False,friendly
2010-05-26,Azerbaijan,Moldova,1,1,False,False,friendly
2010-05-26,Chile,Zambia,3,0,False,False,friendly
2010-05-26,Estonia,Croatia,0,0,False,False,friendly
2010-05-26,France,Costa Rica,2,1,False,False,friendly
2010-05-26,Netherlands,Mexico,2,1,False,False,friendly
2010-05-26,Northern Ireland,Turkey,0,2,False,False,friendly
2010-05-26,Uruguay,Israel,4,1,False,False,friendly
2010-05-27,Belarus,Honduras,2,2,False,False,friendly
2010-05-27,Denmark,Senegal,2,0,False,False,friendly
2010-05-27,South Africa,Colombia,2,1,False,False,friendly
2010-05-28,Republic of Ireland,Algeria,3,0,False,False,friendly
2010-05-29,Azerbaijan,North Macedonia,1,3,False,False,friendly
2010-05-29,Hungary,Germany,0,3,False,False,friendly
2010-05-29,Iceland,Andorra,4,0,False,False,friendly
2010-05-29,Moldova,United Arab Emirates,2,3,False,False,friendly
2010-05-29,New Zealand,Serbia,1,0,False,False,friendly
2010-05-29,Norway,Montenegro,2,1,False,False,friendly
2010-05-29,Poland,Finland,0,0,False,False,friendly
2010-05-29,Slovakia,Cameroon,1,1,False,False,friendly
2010-05-29,Spain,Saudi Arabia,3,2,False,False,friendly
2010-05-29,Sweden,Bosnia and Herzegovina,4,2,False,False,friendly
2010-05-29,Ukraine,Romania,3,2,False,False,friendly
2010-05-29,United States,Turkey,2,1,False,False,friendly
2010-05-29,Venezuela,Canada,1,1,False,False,friendly
2010-05-30,Belarus,South Korea,1,0,False,False,friendly
2010-05-30,Chile,Northern Ireland,1,0,False,False,friendly
2010-05-30,Chile,Israel,3,0,False,False,friendly
2010-05-30,Grenada,Martinique,2,2,False,False,friendly
2010-05-30,Japan,England,1,2,False,False,friendly
2010-05-30,Mexico,Gambia,5,1,False,False,friendly
2010-05-30,Nigeria,Colombia,1,1,False,False,friendly
2010-05-30,Paraguay,Ivory Coast,2,2,False,False,friendly
2010-05-30,Tunisia,France,1,1,False,False,friendly
2010-05-31,South Africa,Guatemala,5,0,False,False,friendly
2010-05-31,Gozo,Padania,1,2,False,False,other
2010-05-31,Iraqi Kurdistan,Two Sicilies,4,1,False,False,other
2010-06-01,Australia,Denmark,1,0,False,False,friendly
2010-06-01,Netherlands,Ghana,4,1,False,False,friendly
2010-06-01,Portugal,Cameroon,3,1,False,False,friendly
2010-06-01,Switzerland,Costa Rica,0,1,False,False,friendly
2010-06-01,Occitania,Padania,0,1,False,False,other
2010-06-01,Provence,Two Sicilies,0,1,False,False,other
2010-06-02,Albania,Andorra,1,0,False,False,friendly
2010-06-02,Azerbaijan,Honduras,0,0,False,False,friendly
2010-06-02,Belarus,Sweden,0,1,False,False,friendly
2010-06-02,Greece,Paraguay,0,2,False,False,friendly
2010-06-02,Norway,Ukraine,0,1,False,False,friendly
2010-06-02,Romania,North Macedonia,0,1,False,False,friendly
2010-06-02,Serbia,Poland,0,0,False,False,friendly
2010-06-02,Zimbabwe,Brazil,0,3,False,False,friendly
2010-06-02,Gozo,Occitania,0,5,False,False,other
2010-06-02,Iraqi Kurdistan,Provence,3,2,False,False,other
2010-06-03,Germany,Bosnia and Herzegovina,3,1,False,False,friendly
2010-06-03,Italy,Mexico,1,2,False,False,friendly
2010-06-03,Spain,South Korea,1,0,False,False,friendly
2010-06-04,France,China,0,1,False,False,friendly
2010-06-04,Japan,Ivory Coast,0,2,False,False,friendly
2010-06-04,Luxembourg,Faroe Islands,0,0,False,False,friendly
2010-06-04,Slovenia,New Zealand,3,1,False,False,friendly
2010-06-04,Sudan,Palestine,1,1,False,False,friendly
2010-06-04,Iraqi Kurdistan,Occitania,2,1,False,False,other
2010-06-04,Padania,Two Sicilies,2,0,False,False,other
2010-06-04,Gozo,Provence,2,1,False,False,other
2010-06-05,Algeria,United Arab Emirates,1,0,False,False,friendly
2010-06-05,Australia,United States,1,3,False,False,friendly
2010-06-05,Ghana,Latvia,1,0,False,False,friendly
2010-06-05,Netherlands,Hungary,6,1,False,False,friendly
2010-06-05,Romania,Honduras,3,0,False,False,friendly
2010-06-05,Serbia,Cameroon,4,3,False,False,friendly
2010-06-05,Slovakia,Costa Rica,3,0,False,False,friendly
2010-06-05,South Africa,Denmark,1,0,False,False,friendly
2010-06-05,Switzerland,Italy,1,1,False,False,friendly
2010-06-05,Occitania,Two Sicilies,2,0,False,False,other
2010-06-05,Iraqi Kurdistan,Padania,0,1,False,False,other
2010-06-06,Nigeria,North Korea,3,1,False,False,friendly
2010-06-07,Tanzania,Brazil,1,5,False,False,friendly
2010-06-08,Mozambique,Portugal,0,3,False,False,friendly
2010-06-08,Spain,Poland,6,0,False,False,friendly
2010-06-11,South Africa,Mexico,1,1,False,False,world_cup
2010-06-11,Uruguay,France,0,0,False,False,world_cup
2010-06-12,Argentina,Nigeria,1,0,False,False,world_cup
2010-06-12,England,United States,1,1,False,False,world_cup
2010-06-12,South Korea,Greece,2,0,False,False,world_cup
2010-06-13,Algeria,Slovenia,0,1,False,False,world_cup
2010-06-13,Germany,Australia,4,0,False,False,world_cup
2010-06-13,Serbia,Ghana,0,1,False,False,world_cup
2010-06-14,Italy,Paraguay,1,1,False,False,world_cup
2010-06-14,Japan,Cameroon,1,0,False,False,world_cup
2010-06-14,Netherlands,Denmark,2,0,False,False,world_cup
2010-06-15,Brazil,North Korea,2,1,False,False,world_cup
2010-06-15,Ivory Coast,Portugal,0,0,False,False,world_cup
2010-06-15,New Zealand,Slovakia,1,1,False,False,world_cup
2010-06-16,Honduras,Chile,0,1,False,False,world_cup
2010-06-16,South Africa,Uruguay,0,3,False,False,world_cup
2010-06-16,Spain,Switzerland,0,1,False,False,world_cup
2010-06-17,Argentina,South Korea,4,1,False,False,world_cup
2010-06-17,France,Mexico,0,2,False,False,world_cup
2010-06-17,Greece,Nigeria,2,1,False,False,world_cup
2010-06-18,England,Algeria,0,0,False,False,world_cup
2010-06-18,Germany,Serbia,0,1,False,False,world_cup
2010-06-18,Lithuania,Latvia,0,0,False,False,other
2010-06-18,Slovenia,United States,2,2,False,False,world_cup
2010-06-19,Cameroon,Denmark,1,2,False,False,world_cup
2010-06-19,Estonia,Latvia,0,0,False,False,other
2010-06-19,Ghana,Australia,1,1,False,False,world_cup
2010-06-19,Netherlands,Japan,1,0,False,False,world_cup
2010-06-19,Niger,Chad,1,1,False,False,friendly
2010-06-19,Northern Mariana Islands,Guam,1,1,False,False,friendly
2010-06-20,Brazil,Ivory Coast,3,1,False,False,world_cup
2010-06-20,Italy,New Zealand,1,1,False,False,world_cup
2010-06-20,Lithuania,Estonia,2,0,False,False,other
2010-06-20,Slovakia,Paraguay,0,2,False,False,world_cup
2010-06-20,Sudan,Tunisia,2,6,False,False,friendly
2010-06-21,Chile,Switzerland,1,0,False,False,world_cup
2010-06-21,Portugal,North Korea,7,0,False,False,world_cup
2010-06-21,Spain,Honduras,2,0,False,False,world_cup
2010-06-22,Greece,Argentina,0,2,False,False,world_cup
2010-06-22,Mexico,Uruguay,0,1,False,False,world_cup
2010-06-22,Nigeria,South Korea,2,2,False,False,world_cup
2010-06-22,South Africa,France,2,1,False,False,world_cup
2010-06-23,Australia,Serbia,2,1,False,False,world_cup
2010-06-23,Ghana,Germany,0,1,False,False,world_cup
2010-06-23,Slovenia,England,0,1,False,False,world_cup
2010-06-23,United States,Algeria,1,0,False,False,world_cup
2010-06-24,Cameroon,Netherlands,1,2,False,False,world_cup
2010-06-24,Denmark,Japan,1,3,False,False,world_cup
2010-06-24,Paraguay,New Zealand,0,0,False,False,world_cup
2010-06-24,Slovakia,Italy,3,2,False,False,world_cup
2010-06-25,Chile,Spain,1,2,False,False,world_cup
2010-06-25,North Korea,Ivory Coast,0,3,False,False,world_cup
2010-06-25,Portugal,Brazil,0,0,False,False,world_cup
2010-06-25,Switzerland,Honduras,0,0,False,False,world_cup
2010-06-26,China,Tajikistan,4,0,False,False,friendly
2010-06-26,Uruguay,South Korea,2,1,False,False,world_cup
2010-06-26,United States,Ghana,1,2,False,False,world_cup
2010-06-27,Argentina,Mexico,3,1,False,False,world_cup
2010-06-27,Germany,England,4,1,False,False,world_cup
2010-06-28,Brazil,Chile,3,0,False,False,world_cup
2010-06-28,Netherlands,Slovakia,2,1,False,False,world_cup
2010-06-29,Paraguay,Japan,0,0,False,False,world_cup
2010-06-29,Spain,Portugal,1,0,False,False,world_cup
2010-07-01,Chad,Togo,2,2,False,False,continental_qualifier
2010-07-01,Tunisia,Botswana,0,1,False,False,continental_qualifier
2010-07-02,Netherlands,Brazil,2,1,False,False,world_cup
2010-07-02,Uruguay,Ghana,1,1,False,False,world_cup
2010-07-03,Argentina,Germany,0,4,False,False,world_cup
2010-07-03,Paraguay,Spain,0,1,False,False,world_cup
2010-07-03,Saint Martin,Saint Barthélemy,3,0,False,False,friendly
2010-07-06,Uruguay,Netherlands,2,3,False,False,world_cup
2010-07-07,Germany,Spain,0,1,False,False,world_cup
2010-07-09,Botswana,Chad,1,0,False,False,continental_qualifier
2010-07-09,Togo,Malawi,1,1,False,False,continental_qualifier
2010-07-10,Uruguay,Germany,2,3,False,False,world_cup
2010-07-11,Netherlands,Spain,0,1,False,False,world_cup
2010-08-04,Botswana,Zimbabwe,2,0,False,False,friendly
2010-08-08,Anguilla,Saint Martin,1,3,False,False,friendly
2010-08-10,Bosnia and Herzegovina,Qatar,1,1,False,False,friendly
2010-08-10,Italy,Ivory Coast,0,1,False,False,friendly
2010-08-10,United States,Brazil,0,2,False,False,friendly
2010-08-11,Albania,Uzbekistan,1,0,False,False,friendly
2010-08-11,Algeria,Gabon,1,2,False,False,friendly
2010-08-11,Angola,Uruguay,0,2,False,False,friendly
2010-08-11,Armenia,Iran,1,3,False,False,friendly
2010-08-11,Austria,Switzerland,0,1,False,False,friendly
2010-08-11,Azerbaijan,Kuwait,1,1,False,False,friendly
2010-08-11,Benin,Niger,0,0,False,False,friendly
2010-08-11,Bolivia,Colombia,1,1,False,False,friendly
2010-08-11,Burkina Faso,Congo,3,0,False,False,friendly
2010-08-11,Chad,Tunisia,1,3,False,False,continental_qualifier
2010-08-11,China,Bahrain,1,1,False,False,friendly
2010-08-11,Cyprus,Andorra,1,0,False,False,friendly
2010-08-11,Czech Republic,Latvia,4,1,False,False,friendly
2010-08-11,Denmark,Germany,2,2,False,False,friendly
2010-08-11,Egypt,DR Congo,6,3,False,False,friendly
2010-08-11,England,Hungary,2,1,False,False,friendly
2010-08-11,Estonia,Faroe Islands,2,1,False,False,continental_qualifier
2010-08-11,Finland,Belgium,1,0,False,False,friendly
2010-08-11,Iceland,Liechtenstein,1,1,False,False,friendly
2010-08-11,Republic of Ireland,Argentina,0,1,False,False,friendly
2010-08-11,Kazakhstan,Oman,3,1,False,False,friendly
2010-08-11,South Korea,Nigeria,2,1,False,False,friendly
2010-08-11,Lithuania,Belarus,0,2,False,False,friendly
2010-08-11,Malawi,Botswana,1,1,False,False,continental_qualifier
2010-08-11,Mali,Guinea,0,2,False,False,friendly
2010-08-11,Malta,North Macedonia,1,1,False,False,friendly
2010-08-11,Mauritania,Palestine,0,0,False,False,friendly
2010-08-11,Mexico,Spain,1,1,False,False,friendly
2010-08-11,Moldova,Georgia,0,0,False,False,friendly
2010-08-11,Montenegro,Northern Ireland,2,0,False,False,friendly
2010-08-11,Morocco,Equatorial Guinea,2,1,False,False,friendly
2010-08-11,Mozambique,Eswatini,2,1,False,False,friendly
2010-08-11,Norway,France,2,1,False,False,friendly
2010-08-11,Panama,Venezuela,3,1,False,False,friendly
2010-08-11,Paraguay,Costa Rica,2,0,False,False,friendly
2010-08-11,Poland,Cameroon,0,3,False,False,friendly
2010-08-11,Russia,Bulgaria,1,0,False,False,friendly
2010-08-11,Saudi Arabia,Togo,1,0,False,False,friendly
2010-08-11,Senegal,Cape Verde,1,0,False,False,friendly
2010-08-11,Serbia,Greece,0,1,False,False,friendly
2010-08-11,Slovakia,Croatia,1,1,False,False,friendly
2010-08-11,Slovenia,Australia,2,0,False,False,friendly
2010-08-11,South Africa,Ghana,1,0,False,False,friendly
2010-08-11,Sweden,Scotland,3,0,False,False,friendly
2010-08-11,Tanzania,Kenya,1,1,False,False,friendly
2010-08-11,Thailand,Singapore,1,0,False,False,friendly
2010-08-11,Trinidad and Tobago,Jamaica,1,3,False,False,friendly
2010-08-11,Turkey,Romania,2,0,False,False,friendly
2010-08-11,Uganda,Zambia,1,1,False,False,friendly
2010-08-11,Ukraine,Netherlands,1,1,False,False,friendly
2010-08-11,Wales,Luxembourg,5,1,False,False,friendly
2010-08-18,Ethiopia,Kenya,0,3,False,False,friendly
2010-08-20,Madagascar,Mayotte,0,0,False,False,friendly
2010-08-26,Saint Lucia,Martinique,1,3,False,False,friendly
2010-08-28,Saint Kitts and Nevis,Antigua and Barbuda,1,1,False,False,friendly
2010-08-28,Saint Lucia,Martinique,1,1,False,False,friendly
2010-08-29,Ethiopia,Chad,1,0,False,False,friendly
2010-08-29,Madagascar,Comoros,1,0,False,False,friendly
2010-09-02,Israel,Malta,3,1,False,False,continental_qualifier
2010-09-03,Algeria,Tanzania,1,1,False,False,continental_qualifier
2010-09-03,Andorra,Russia,0,2,False,False,continental_qualifier
2010-09-03,Armenia,Republic of Ireland,0,1,False,False,continental_qualifier
2010-09-03,Belgium,Germany,0,1,False,False,continental_qualifier
2010-09-03,China,Iran,0,2,False,False,friendly
2010-09-03,England,Bulgaria,4,0,False,False,continental_qualifier
2010-09-03,Estonia,Italy,1,2,False,False,continental_qualifier
2010-09-03,Faroe Islands,Serbia,0,3,False,False,continental_qualifier
2010-09-03,France,Belarus,0,1,False,False,continental_qualifier
2010-09-03,Greece,Georgia,1,1,False,False,continental_qualifier
2010-09-03,Iceland,Norway,1,2,False,False,continental_qualifier
2010-09-03,Kazakhstan,Turkey,0,3,False,False,continental_qualifier
2010-09-03,Kuwait,Syria,3,0,False,False,friendly
2010-09-03,Latvia,Croatia,0,3,False,False,continental_qualifier
2010-09-03,Liechtenstein,Spain,0,4,False,False,continental_qualifier
2010-09-03,Lithuania,Scotland,0,0,False,False,continental_qualifier
2010-09-03,Luxembourg,Bosnia and Herzegovina,0,3,False,False,continental_qualifier
2010-09-03,Moldova,Finland,2,0,False,False,continental_qualifier
2010-09-03,Montenegro,Wales,1,0,False,False,continental_qualifier
2010-09-03,Oman,Malaysia,3,0,False,False,friendly
2010-09-03,Panama,Costa Rica,2,2,False,False,friendly
2010-09-03,Portugal,Cyprus,4,4,False,False,continental_qualifier
2010-09-03,Qatar,Bahrain,1,1,False,False,friendly
2010-09-03,Romania,Albania,1,1,False,False,continental_qualifier
2010-09-03,San Marino,Netherlands,0,5,False,False,continental_qualifier
2010-09-03,Slovakia,North Macedonia,1,0,False,False,continental_qualifier
2010-09-03,Slovenia,Northern Ireland,0,1,False,False,continental_qualifier
2010-09-03,Sweden,Hungary,2,0,False,False,continental_qualifier
2010-09-03,Switzerland,Australia,0,0,False,False,friendly
2010-09-03,Venezuela,Colombia,0,2,False,False,friendly
2010-09-04,Botswana,Togo,2,1,False,False,continental_qualifier
2010-09-04,Canada,Peru,0,2,False,False,friendly
2010-09-04,Cape Verde,Mali,1,0,False,False,continental_qualifier
2010-09-04,El Salvador,Honduras,2,2,False,False,friendly
2010-09-04,Guatemala,Nicaragua,5,0,False,False,friendly
2010-09-04,Gambia,Namibia,3,1,False,False,continental_qualifier
2010-09-04,Guinea-Bissau,Kenya,1,0,False,False,continental_qualifier
2010-09-04,Ivory Coast,Rwanda,3,0,False,False,continental_qualifier
2010-09-04,Japan,Paraguay,1,0,False,False,friendly
2010-09-04,Mauritius,Cameroon,1,3,False,False,continental_qualifier
2010-09-04,Mexico,Ecuador,1,2,False,False,friendly
2010-09-04,Morocco,Central African Republic,0,0,False,False,continental_qualifier
2010-09-04,Poland,Ukraine,1,1,False,False,friendly
2010-09-04,South Africa,Niger,2,0,False,False,continental_qualifier
2010-09-04,Sudan,Congo,2,0,False,False,continental_qualifier
2010-09-04,Thailand,India,1,0,False,False,friendly
